Date,Vhembe,dis35AWRI,dis48AWRI,dis49AWRI,dis50AWRI,dis63AWRI,dis64AWRI,dis65AWRI,dis76AWRI,dis77AWRI,dis86AWRI,dis35EDI,dis48EDI,dis49EDI,dis65EDI,dis76EDI,dis35rainfall,dis48rainfall,dis49rainfall,dis50rainfall,dis63rainfall,dis64rainfall,dis65rainfall,dis76rainfall,dis77rainfall,dis86rainfall,TempThabazimi,TemLEPHALALE,TempPOLOKWANE,TempTHOHOYANDOUAWS,humidityTha,humidityLe,humidityPol,humidityThou,TempHOEDSPRUIT,humidityHoe
1999-05-31 00:00:00,610,250.4,285.1,440.9,156.3,209.1,102.5,103.1,154.3,139.4,209.1,0.95,0.5,0.89,-0.61,-0.86,8.2,15.8,36.2,7.6,28.3,7,7,20.4,19.8,38.1,20.84005376,18.5436828,15.34354839,18.78454301,71.53763441,65.04032258,66.22715054,83.06989247,19.55120968,66.59677419
1999-06-30 00:00:00,122,204.3,226.8,361.5,128.9,161.8,80.9,82.5,125.1,109.6,162.4,1.04,0.48,0.94,-0.6,-0.83,6.4,3.3,17.6,6.2,0.5,0.5,1.5,5.4,1.5,2.2,14.81908078,14.88722222,12.50833333,16.17680556,63.99164345,58.84027778,54.5125,75.325,17.59875,55.36527778
1999-07-31 00:00:00,31,173.8,188.2,330.9,109.7,126,68.8,69.6,101.5,85.6,126,1.19,0.49,1.27,-0.49,-0.76,13.4,10.9,49.6,9.5,0.4,5.8,5.2,4.5,0.4,0.4,13.27876344,15.23548387,12.2655914,16.57271505,61.91666667,60.96908602,62.60215054,75.79569892,17.48884409,60.02956989
1999-08-31 00:00:00,97,136.2,147.4,256.7,83.8,102.2,52,52.8,80.1,66.8,95.9,1.12,0.36,1,-0.58,-0.84,2.8,3.2,5.3,0.5,6.2,0.1,0,3,1.5,0,16.40860215,17.96129032,14.5202957,17.64018817,45.11155914,47.84075574,52.21102151,52.20430108,19.18104839,56.40188172
1999-09-30 00:00:00,335,110,115.3,206.2,66.9,94.3,39.2,49.5,62.5,50.7,77.7,0.49,-0.1,0.51,-0.51,-1.01,7.8,5.5,12.9,4.7,19.8,1.2,10.7,3.6,1.8,7.5,20.52902778,20.22544643,16.57847222,19.62759104,42.70571827,44.81845238,51.73472222,51.64473684,20.49180556,55.70138889
1999-10-31 00:00:00,377,123.6,130.2,193.2,100.2,106.8,57.9,68.3,71.7,62.5,77.7,0.49,-0.12,0.02,-0.27,-1.3,44.9,48.6,43.3,53.3,41.8,31.3,34.5,28.4,27.9,24.2,15.3,22.62096774,18.10329513,20.31209677,60,51.13709677,59.22492837,62.09946237,21.59126344,65.00806452
1999-11-30 00:00:00,969,219.8,209.1,272.7,165.4,136.3,162.5,112.4,153.3,101.4,105.8,1.59,0.34,0.44,0.09,-0.47,135.4,121.8,138.2,98.3,64.2,124.8,67.3,106.1,61.1,55.1,22.49554367,25.12486111,20.75902778,22.77736111,54.55510753,63.80555556,66.21527778,71.02777778,23.34305556,70.51666667
1999-12-31 00:00:00,403,195.9,284,331.3,176.1,262.1,193.7,144.8,226,142.8,245.4,0.28,0.59,0.35,0.07,0.23,47,143.2,146.5,63.1,168.8,83.9,68.4,122.9,75.4,174.7,22.49554367,20.3,21.48024194,23.98104839,54.55510753,77,69.1733871,72.06048387,24.7858871,69.92876344
2000-01-31 00:00:00,393,402.8,368.7,584.8,299,293.4,241.9,232.5,309.4,218.5,371.5,1.88,0.5,1.24,0.78,0.79,263.5,170.3,353.1,172.4,110,103.1,129.4,149.6,117.2,201.3,22.60484522,24.1243607,20.65430108,22.62862903,82.81292059,75.58411844,74.15322581,78.65188172,23.24099462,75.52016129
2000-02-29 00:00:00,242,830.3,789.9,1553.6,685.1,340.9,389.1,504.3,418.6,405.7,459.8,4.81,3.14,5.51,4.27,1.92,548.3,524.7,1142.2,471.5,126.6,211.7,337.2,194.6,248.9,193.9,24.7954023,25.63045977,20.60360231,22.82068966,83.78304598,76.0862069,80.08645533,84.50574713,23.54267241,81.43678161
2000-03-31 00:00:00,573,711.3,874.5,1447.9,634.8,360.2,342.9,555.1,386.7,377.1,431.9,4.2,4.03,5.37,5.55,1.98,122.9,314.5,359.7,150.2,108.6,61,197,81.2,87.5,95.7,24.08198925,22.7608,20.47061995,22.71169355,85.12365591,79.60533333,79.12803235,82.92741935,23.39731183,80.94892473
2000-04-30 00:00:00,614,572.5,736.5,1164.4,503.9,323.4,326.7,437,380.8,366.8,383.8,4.22,4.47,5.51,5.31,3.09,34,90.2,83.1,27.8,53.3,65.7,26.3,87.4,83,56.9,19.25666667,19.57222222,16.71986111,19.77416667,84.44444444,76.92638889,76.48472222,77.96527778,20.51083333,77.13194444
2000-05-31 00:00:00,198,462.4,583.9,924.9,404.8,266.5,266.8,346.6,307.6,315,306.7,3.9,3.94,4.8,4.9,2.87,14.4,16.5,19.1,11.3,18.3,16.2,6.9,17,35.4,10.4,13.84249649,15.15241935,12.8891129,16.61747312,78.74474053,72.53629032,68.46908602,72.86155914,17.81626344,68.95564516
2000-06-30 00:00:00,82,387.2,509.4,791.8,341.4,223,225.9,290,266.1,254.5,258.2,4.37,4.64,5.38,5.45,3.57,20.8,48.3,58.3,20.6,14.6,16.9,15.3,25.3,9.4,16.2,14.24180556,14.70833333,12.29833333,16.08722222,82.95555556,75.69861111,73.97083333,74.68194444,17.44277778,70.45972222
